country,year,age_group,male_population,female_population,total_population
Germany,2025,0-4,1914466,1811618,3726084
Germany,2025,5-9,2091064,1989397,4080461
Germany,2025,10-14,1984681,1883357,3868038
Germany,2025,15-19,1985147,1883801,3868948
Germany,2025,20-24,2112848,2010144,4122992
Germany,2025,25-29,2497800,2196050,4693850
Germany,2025,30-34,2642354,2437035,5079389
Germany,2025,35-39,2922028,2718440,5640468
Germany,2025,40-44,2697259,2695116,5392375
Germany,2025,45-49,2539837,2537695,5077532
Germany,2025,50-54,2623678,2621535,5245213
Germany,2025,55-59,3323694,3321552,6645246
Germany,2025,60-64,3304028,3401974,6706002
Germany,2025,65-69,2682808,2879313,5562121
Germany,2025,70-74,2099486,2497041,4596527
Germany,2025,75-79,1588052,1883468,3471520
Germany,2025,80-84,1311286,1712286,3023572
Germany,2025,85-89,883862,1400182,2284044
Germany,2025,90-94,260187,525163,785350
Germany,2025,95-99,49039,136836,185875
Germany,2025,100+,4147,15329,19476
