Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Germany,Youth unemployment rate,,Ages 15–24,7.1,percent,2026,Destatis – Labour market in Europe,https://www.destatis.de/Europa/EN/Topic/Population-Labour-Social-Issues/Labour-market/EULabourMarketCrisis.html,January 2026 value.
Germany,Long-term unemployment rate,,,1.1,percent of labour force,2025,Eurostat – Long-term unemployment by sex - quarterly data,https://ec.europa.eu/eurostat/databrowser/product/view/une_ltu_q?category=labour.employ.lfsi.une,Latest value cited: Q4 2025 / December 2025.
Germany,Labour force participation rate,,Overall,60.9,percent,2024,Destatis – Labour force participation rate,https://www.destatis.de/EN/Themes/Countries-Regions/International-Statistics/Data-Topic/Tables/BasicData_LaborForce_PartRate.html,Overall national participation rate.
Germany,Labour force participation rate,By migrant/native status,Without migrant background,53.7,percent,2024,Destatis – Population by migrant status and labour force participation,https://www.destatis.de/EN/Themes/Society-Environment/Population/Migration-Integration/Tables/migrant-status-labour-force-participation.html,"Calculated from published counts: 30,836 / 57,390."
Germany,Labour force participation rate,By migrant/native status,With migrant background,52.5,percent,2024,Destatis – Population by migrant status and labour force participation,https://www.destatis.de/EN/Themes/Society-Environment/Population/Migration-Integration/Tables/migrant-status-labour-force-participation.html,"Calculated from published counts: 13,322 / 25,387."
Germany,Labour force participation rate,By migrant/native status,"German, with own migration experience",62.7,percent,2024,Destatis – Population by migrant status and labour force participation,https://www.destatis.de/EN/Themes/Society-Environment/Population/Migration-Integration/Tables/migrant-status-labour-force-participation.html,"German, with own migration experience. German citizens who themselves immigrated to Germany. This can include naturalized citizens or ethnic Germans returning from abroad. Calculated from published counts: 3,473 / 5,539."
Germany,Labour force participation rate,By migrant/native status,"German, without own migration experience",39.9,percent,2024,Destatis – Population by migrant status and labour force participation,https://www.destatis.de/EN/Themes/Society-Environment/Population/Migration-Integration/Tables/migrant-status-labour-force-participation.html,"German, without own migration experience. German citizens who did not personally immigrate. In this migration table, this group is still inside the broader migrant-background framework, so this usually means German citizens born in Germany with migrant family roots. Calculated from published counts: 3,070 / 7,690."
Germany,Labour force participation rate,By migrant/native status,"Foreigner, with own migration experience",57.9,percent,2024,Destatis – Population by migrant status and labour force participation,https://www.destatis.de/EN/Themes/Society-Environment/Population/Migration-Integration/Tables/migrant-status-labour-force-participation.html,"Foreigner, with own migration experience. Non-German citizens who themselves immigrated to Germany. Calculated from published counts: 6,047 / 10,450."
Germany,Labour force participation rate,By migrant/native status,"Foreigner, without own migration experience",42.9,percent,2024,Destatis – Population by migrant status and labour force participation,https://www.destatis.de/EN/Themes/Society-Environment/Population/Migration-Integration/Tables/migrant-status-labour-force-participation.html,"Foreigner, without own migration experience. Non-German citizens who did not themselves immigrate. Usually this means they were born in Germany but still hold a foreign citizenship. Calculated from published counts: 732 / 1,708."
Germany,Minimum wage,,,13.90,EUR per hour,2026,Minimum Wage Commission – Statutory minimum wage,https://www.mindestlohn-kommission.de/en/Minimum-Wage-Commission/Information-on-the-work-of-the-Minimum-Wage-Commission/information-on-the-work-of-the-minimum-wage-commission_node,Effective from 1 January 2026.
Germany,Average annual working hours per worker,,,1332,hours,2023,OECD Economic Surveys: Germany 2025,https://www.oecd.org/en/publications/oecd-economic-surveys-germany-2025_39d62aed-en/full-report/basic-statistics-of-germany-2024_970618ee.html,OECD listed average annual hours worked per worker.
