Topic,Published Date,Title,URL,Image
Economy,2026-04-11,"German debt brake reform won't happen during current government term, Bild reports",https://www.reuters.com/business/german-debt-brake-reform-wont-happen-during-current-government-term-bild-reports-2026-04-11/,https://www.reuters.com/resizer/v2/E7XWRJLENZPGPKJMUPNCX6LZGM.jpg?auth=f86243a31f89fbe9127928a9f7ac3e03eef30f299cf8c35917ef432593149e41&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-10,Spat over oil price relief exposes strains in Germany's coalition,https://www.reuters.com/markets/us/german-minister-pushes-commuter-tax-breaks-rejects-windfall-tax-idea-2026-04-10/,
Economy,2026-04-10,German inflation confirmed at 2.8% in March,https://www.reuters.com/world/europe/german-inflation-confirmed-28-march-2026-04-10/,https://www.reuters.com/resizer/v2/N6NDTZ4MNRKMDORVYKESK2LVJU.jpg?auth=6ec47df8807dd0a82e77fbaba69b2e26a48920587064f8e75a3400588d2fbcf9&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-09,"Germany probes Klesch's planned purchase of BP refinery, the Spiegel reports",https://www.reuters.com/business/germany-probes-kleschs-planned-purchase-bp-refinery-reports-spiegel-2026-04-09/,https://www.reuters.com/resizer/v2/BSENBXPIZZMLNCUAHQ4HSSMK3A.jpg?auth=f7f7e52af1e2f388dd98e72a383056530a6f3cb958a2b6154a8794c0a077e207&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-09,"German industrial output fall points to weak quarter, economists say",https://www.reuters.com/business/german-industrial-output-falls-unexpectedly-february-2026-04-09/,https://www.reuters.com/resizer/v2/IOLXQ2PDM5ONNEUFCSFS7MDUII.jpg?auth=f19c3c58ba0e0dce55481346023c2b1b8635981e11605ef3e0d9eb5af87dba2d&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-09,German exports rise more than expected in February,https://www.reuters.com/world/china/german-exports-rise-more-than-expected-february-2026-04-09/,https://www.reuters.com/resizer/v2/DRDWQCUZ6FMJROYBTS2RNAA53U.jpg?auth=bbcbdcb304f893c19bbdfc09c749c06939902944f7e900d304f15e428f41c7e6&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-08,"Germany's February industrial orders up, albeit far below forecasts",https://www.reuters.com/business/german-industrial-orders-rise-09-february-2026-04-08/,https://www.reuters.com/resizer/v2/647EFFCMYFONZD77WQJQ4MY3VE.jpg?auth=2a684e2fa56b2343c54da0b423a34a03fc202bd025da55ae345751d3e6b80610&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-08,"German exporters stay upbeat despite Iran war, Allianz Trade says",https://www.reuters.com/business/german-exporters-stay-upbeat-despite-iran-war-allianz-trade-says-2026-04-08/,https://www.reuters.com/resizer/v2/YEQ5QJ3IHZIE3ORQ6WQJ544HN4.jpg?auth=b56626cfcba376e62de0f3afc2e5c1d71caebdbf35efbebbac3091a39250f31f&height=1005&width=1920&quality=80&smart=true
Economy,2026-04-07,"German service sector growth slows to seven-month low, PMI shows",https://www.reuters.com/world/europe/german-service-sector-growth-slows-seven-month-low-pmi-shows-2026-04-07/,
Economy,2026-04-01,Europe scrambles to contain price shock from Iran war as German forecasts are cut,https://apnews.com/article/europe-germany-economy-growth-iran-war-inflation-6dd8a19413de5ba1f788b0f5b447d6b7,https://dims.apnews.com/dims4/default/2272877/2147483647/strip/true/crop/3377x2250+143+0/resize/980x653!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Ffb%2Fcb%2F83a1155dfa786f927c228a37190a%2Fde71fbb665ef43f0b1c0750f58cd99a8
