country,inflation_rate_pct,inflation_reference,inflation_source,unemployment_rate_pct,unemployment_reference,unemployment_source,interest_rate_pct,interest_rate_reference,interest_rate_source,note,real_median_wage_usd,real_median_wage_reference,real_median_wage_source
Austria,3.1,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,7.5,Mar/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3008,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Belarus,5.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,3.38,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,9.75,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,704,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Belgium,1.65,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.4,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3027,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Bosnia and Herzegovina,3.3,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,11.1,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,3.82,Feb/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,841,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Bulgaria,3.9,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.4,Jan/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,1.81,Dec/25,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1141,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Canada,1.8,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=america,6.7,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=america,2.25,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=america,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,2976,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Croatia,4.8,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.7,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1567,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Cyprus,1.15,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.2,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1944,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Czech Republic,1.9,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.2,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,3.5,Apr/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1767,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Denmark,0.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,2.7,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,1.6,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,4251,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Estonia,3.6,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.4,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1865,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Finland,0.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,10.9,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3053,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
France,1.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,7.9,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,2830,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Germany,2.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.3,Mar/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3427,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
